,Unnamed: 0,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
0,0,'57 Chevy with a White License Plate,2016-07-18 22:49:04,14029,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,,Creme de Cacao,,,,,,,Vodka,,,,,,,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,1 oz white ,,,,,,,1 oz , , , , , ,,,
1,1,1-900-FUK-MEUP,2016-07-18 22:27:04,15395,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,,Absolut Kurant,,,,,,,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/2 oz , , , , ,,,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz , ,
2,2,110 in the shade,2016-02-03 14:51:57,15423,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,,Lager,,,,,,,Tequila,,,,,,,,Drop shooter in glass. Fill with beer,16 oz ,,,,,,,1.5 oz , , , , , ,,,
3,3,151 Florida Bushwacker,2016-07-18 22:28:43,14588,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,,Malibu rum,,,,,,,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1/2 oz , , , , ,,,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup , ,
4,4,155 Belmont,2016-10-05 12:36:28,15346,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,,Dark rum,,,,,,,Light rum,Vodka,Orange juice,,,,,,Blend with ice. Serve in a wine glass. Garnish with carrot.,1 shot ,,,,,,,2 shots ,1 shot ,1 shot , , , , , ,
5,5,24k nightmare,2016-07-18 22:31:38,17060,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,,Goldschlager,,,,,,,Jägermeister,Rumple Minze,151 proof rum,,,,,,"Add over ice,shake and pour.",1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi , , , , , ,
6,6,252,2016-07-18 22:32:42,15288,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,,151 proof rum,,,,,,,Wild Turkey,,,,,,,,"Add both ingredients to shot glass, shoot, and get drunk quick",1/2 shot Bacardi ,,,,,,,1/2 shot , , , , , ,,,
7,7,3 Wise Men,2016-07-18 22:34:37,13899,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,,Jack Daniels,,,,,,,Johnnie Walker,Jim Beam,,,,,,,put them them in a glass... and slam it to tha head.,1/3 oz ,,,,,,,1/3 oz ,1/3 oz , , , , , ,,
8,8,3-Mile Long Island Iced Tea,2016-08-31 19:42:52,15300,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,,Gin,,,,,,,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1/2 oz , , , , ,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,"
",1-2 dash ,1 wedge , ,
9,9,410 Gone,2016-08-31 19:43:46,13581,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,,Peach Vodka,,,,,,,Coca-Cola,,,,,,,,,2-3 oz,,,,,,,,,,,,,,,
10,10,50/50,2016-04-29 09:41:56,14598,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Collins Glass,,Vanilla vodka,,,,,,,Grand Marnier,Orange juice,,,,,,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,2 1/2 oz ,,,,,,,1 splash ,Fill with , , , , , ,,
11,11,501 Blue,2016-04-28 19:11:37,17105,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Collins Glass,,Blue Curacao,,,,,,,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,Mix equal amounts into a glass with ice.,"
",,,,,,,"
","
","
","
","
","
","
",,
12,12,69 Special,2016-08-31 19:44:55,13940,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Collins Glass,,Gin,,,,,,,7-Up,Lemon juice,,,,,,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",2 oz dry ,,,,,,,4 oz ,0.75 oz , , , , , ,,
13,13,747,2016-08-31 19:28:26,14229,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,Shot glass,,Kahlua,,,,,,,Bailey's irish cream,Frangelico,,,,,,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",1/3 part ,,,,,,,1/3 part ,1/3 part , , , , , ,,
14,14,9 1/2 Weeks,2016-08-31 19:48:22,16108,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail glass,,Absolut Citron,,,,,,,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,2 oz ,,,,,,,1/2 oz ,1 splash ,1 oz , , , , , ,
15,15,A Day at the Beach,2016-02-03 15:47:54,15200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Highball glass,,Coconut rum,,,,,,,Amaretto,Orange juice,Grenadine,,,,,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",1 oz ,,,,,,,1/2 oz ,4 oz ,1/2 oz , , , , , ,
16,16,A Furlong Too Late,2016-08-31 19:46:06,11000,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Highball glass,,Light rum,,,,,,,Ginger beer,Lemon peel,,,,,,,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,2 oz ,,,,,,,4 oz ,1 twist of , , , , , ,,
17,17,A Gilligan's Island,2016-04-28 19:12:56,16943,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Collins glass,,Vodka,,,,,,,Peach schnapps,Orange juice,Cranberry juice,,,,,,"Shaken, not stirred!",1 oz ,,,,,,,1 oz ,3 oz ,3 oz , , , , , ,
18,18,A Night In Old Mandalay,2016-04-29 09:43:00,11001,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Highball glass,,Light rum,,,,,,,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",1 oz , , ,,,,,1 oz ,1 oz ,1/2 oz ,3 oz ,1 twist of , , , ,
19,19,A Piece of Ass,2016-09-01 09:48:57,16405,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Highball glass,,Amaretto,,,,,,,Southern Comfort,Ice,Sour mix,,,,,,Put ice in glass. Pour in shots. Fill with Sour Mix.,1 shot ,,,,,,,1 shot ," cubes
","
","
","
","
","
","
",
20,20,A Splash of Nash,2016-08-31 19:30:01,14564,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Highball glass,,Cranberry juice,,,,,,,Soda water,Midori melon liqueur,Creme de Banane,,,,,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,2 oz ,,,,,,,2 oz ,0.5 oz ,0.5 oz , , , , , ,
21,21,A True Amaretto Sour,2016-08-31 19:49:32,17005,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Old-fashioned glass,,Amaretto,,,,,,,Lemon,Ice,Maraschino cherry,,,,,,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",1 jigger ,,,,,,,Juice of 1/2 ,"
", , , , , ,,
22,22,A midsummernight dream,2016-04-28 19:14:52,15675,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,Collins Glass,,Vodka,,,,,,,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",2 oz ,"
",,,,,,1 oz ,1 tsp ,5 ,"
","
","
","
","
",
23,23,A. J.,2016-09-02 11:16:58,11002,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Cocktail glass,,Applejack,,,,,,,Grapefruit juice,,,,,,,,"Shake ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 oz , , , , , ,,,
24,24,A.D.M. (After Dinner Mint),2016-08-31 19:53:20,14560,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Irish coffee cup,,White Creme de Menthe,,,,,,,Southern Comfort,Vodka,Hot chocolate,,,,,,shake vigorously,1/2 oz ,,,,,,,3/4 oz ,1/2 oz ,Fill with , , , , , ,
25,25,A1,2017-09-07 21:42:09,17222,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail glass,,Gin,,,,,,,Grand Marnier,Lemon Juice,Grenadine,,,,,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",1 3/4 shot ,,,,,,,1 Shot ,1/4 Shot,1/8 Shot,"
","
","
",,,
26,26,ABC,2016-08-31 19:32:08,13501,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Shot glass,,Amaretto,,,,,,,Bailey's irish cream,Cognac,,,,,,,Layered in a shot glass.,1/3 ,,,,,,,1/3 ,1/3 , , , , , ,,
27,27,ACID,2016-11-15 11:28:37,14610,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Shot glass,,151 proof rum,,,,,,,Wild Turkey,,,,,,,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,1 oz Bacardi ,,,,,,,1 oz , , , , , ,,,
28,28,AT&T,2017-04-24 22:00:19,13938,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball Glass,,Absolut Vodka,,,,,,,Gin,Tonic water,,,,,,,"Pour Vodka and Gin over ice, add Tonic and Stir",1 oz ,,,,,,,1 oz ,4 oz , , , , , ,,
29,29,Abbey Cocktail,2016-09-02 11:19:28,11003,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Cocktail glass,,Gin,,,,,,,Orange bitters,Orange,Cherry,,,,,,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,1 1/2 oz ,,,,,,,1 dash ,Juice of 1/4 ,1 , , , , , ,
30,30,Abbey Martini,2017-09-07 21:50:03,17223,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Cocktail glass,,Gin,,,,,,,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",2 shots ,,,,,,,1 shot ,1 shot ,3 dashes ,"
","
","
",,,
31,31,Abilene,2016-04-29 09:44:25,11004,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Highball glass,,Dark rum,,,,,,,Peach nectar,Orange juice,,,,,,,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,1 1/2 oz ,,,,,,,2 oz ,3 oz , , , , , ,,
32,32,Absinthe #2,2016-08-31 19:13:17,12790,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Jar,,Vodka,,,,,,,Sugar,Anise,Licorice root,Wormwood,,,,,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",1 bottle , ,,,,,,50 gr ,50 ml pure ,1 tblsp ,1 , , , , ,
33,33,Absolut Evergreen,2016-09-02 11:36:49,14374,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,Collins Glass,,Absolut Citron,,,,,,,Pisang Ambon,Ice,Bitter lemon,,,,,,"Mix, pour over ice and top up with Bitter Lemon.",2/3 part ,,,,,,,1/3 part ," cubes
","
","
","
","
","
","
",
34,34,Absolut Sex,2016-08-31 19:33:56,14360,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Old-fashioned glass,,Absolut Kurant,,,,,,,Midori melon liqueur,Cranberry juice,Sprite,,,,,,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",3/4 oz ,,,,,,,3/4 oz ,1 oz ,1 splash , , , , , ,
35,35,Absolut Stress #2,2016-09-02 11:23:45,15597,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Collins Glass,,Absolut Vodka,,,,,,,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,Mix well. Garnish with Orange and Cherry. Enjoy,1 1/2 oz , ,,,,,,1/2 oz ,1/2 oz ,1 1/2 oz ,1 1/2 oz , , , , ,
36,36,Absolut Summertime,2016-08-31 19:54:22,14107,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Collins glass,,Absolut Citron,,,,,,,Sweet and sour,Sprite,Soda water,Lemon,,,,,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,1 1/2 oz , ,,,,,,3/4 oz ,1/2 oz ,3 oz ,1 slice , , , , ,
37,37,Absolut limousine,2016-09-01 09:50:44,14372,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,Collins Glass,,Absolut Citron,,,,,,,Lime juice,Ice,Tonic water,,,,,,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,2/3 ,,,,,,,1/3 ,Fill with ,Top it up with , , , , , ,
38,38,Absolutely Cranberry Smash,2016-09-02 11:24:44,15024,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Cocktail glass,,Absolut Vodka,,,,,,,Cranberry juice,Ginger ale,Ice,,,,,,Stir ingredients together. Serve over ice.,2 oz ,,,,,,,4 oz ,2 oz ,Add , , , , , ,
39,39,Absolutely Fabulous,2017-09-07 21:55:34,17224,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne flute,,Vodka,,,,,,,Cranberry Juice,Champagne,,,,,,,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,1 shot ,,,,,,,2 shots ,Top up with,"
","
","
","
",,,
40,40,Absolutly Screwed Up,2016-08-31 19:55:28,16134,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Collins glass,,Absolut Citron,,,,,,,Orange juice,Triple sec,Ginger ale,,,,,,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",1 shot ,,,,,,,1 shot ,1 shot ,Fill to top , , , , , ,
41,41,Acapulco,2016-09-02 11:26:16,11005,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Old-fashioned glass,,Light rum,,,,,,,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,1 1/2 oz , , ,,,,,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 , , , ,
42,42,Ace,2017-09-07 22:05:06,17225,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,,Gin,,,,,,,Grenadine,Heavy cream,Milk,Egg White,,,,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,2 shots ,,,,,,,1/2 shot ,1/2 shot ,1/2 shot ,1/2 Fresh,"
","
",,,
43,43,Adam,2016-09-02 11:29:29,11006,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,Cocktail glass,,Dark rum,,,,,,,Lemon juice,Grenadine,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1 oz ,1 tsp , , , , , ,,
44,44,Adam & Eve,2017-09-07 22:17:58,17226,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Cocktail glass,,Gin,,,,,,,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,Shake together all the ingredients and strain into a cold glass.,1 shot ,,,,,,,1 shot ,1 shot ,1/8 shot ,,,,,,
45,45,Adam Bomb,2016-02-03 15:23:36,16333,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Margarita/Coupette glass,,Rum,,,,,,,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",1 part , , , ,,,,1 part ,1 part ,1/2 part ,"
","
",1-3 pint , , ,
46,46,Adam Sunrise,2016-09-02 11:28:32,15567,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Collins Glass,,Vodka,,,,,,,Lemonade,Water,Sugar,,,,,,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",1/2 ,,,,,,,1/2 can ,1/2 ,10 tsp , , , , , ,
47,47,Addington,2017-09-07 22:15:25,17227,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Dry Vermouth,Soda Water,,,,,,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,2 shots ,,,,,,,1 shot ,"Top up with
","
","
","
","
",,,
48,48,Addison,2017-09-07 22:38:20,17228,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Martini Glass,,Gin,,,,,,,Vermouth,,,,,,,,Shake together all the ingredients and strain into a cold glass.,1 1/2 shot ,,,,,,,1 1/2 shot ,"
","
","
","
","
",,,
49,49,Addison Special,2017-04-24 22:14:53,14272,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Old-fashioned glass,,Vodka,,,,,,,Grenadine,Orange juice,,,,,,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,1 shot ,,,,,,,1 tblsp ,Fill with , , , , , ,,
50,50,Adios Amigos Cocktail,2017-09-07 22:31:33,17229,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,Martini Glass,,Rum,,,,,,,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,Shake together all the ingredients and strain into a cold glass.,1 shot ,,,,,,,1/2 shot ,1/2 shot ,1/2 shot ,1/4 shot,1/4 shot,1/2 shot ,,,
