,Name,ModificationDate,DrinkID,DrinkType,Category,GlassImageLink,Glass,IBA,Recipe,Video,Ingredients,Measure,PersonalRating,Comment,Favorite
68,Allies Cocktail,2017-01-02 20:15:04,11022,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Cocktail glass,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",,"['Dry Vermouth', nan, nan, nan, nan, nan, nan, 'Gin', 'Kummel', nan, nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', '1/2 tsp ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
69,Almeria,2017-01-02 20:16:21,11023,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Cocktail glass,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",,"['Dark rum', nan, nan, nan, nan, nan, nan, 'Kahlua', 'Egg white', nan, nan, nan, nan, nan, nan]","['2 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', '1 ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
70,Almond Chocolate Coffee,2017-04-24 22:30:41,16082,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Coffee mug,,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Dark Creme de Cacao', 'Coffee', nan, nan, nan, nan, nan, nan]","['3/4 oz ', nan, nan, nan, nan, nan, nan, '1/2 oz ', '8 oz ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
71,Almond Joy,2017-01-02 20:18:16,11024,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,Cocktail glass,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Creme de Cacao', 'Light cream', nan, nan, nan, nan, nan, nan]","['1/2 oz ', nan, nan, nan, nan, nan, nan, '1/2 oz white ', '2 oz ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
72,Aloha Fruit punch,2016-07-18 22:11:07,12862,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,Collins Glass,,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.",,"['Water', nan, nan, nan, nan, nan, nan, 'Ginger', 'Guava juice', 'Lemon juice', 'Pineapple', 'Sugar', 'Pineapple juice', nan, nan]","['3/4 cup ', ' ', ' ', ' ', nan, nan, nan, '2 tsp ', '2 cups ', '1 1/2 tblsp ', '1 1/2 cup ', '1 cup ', '3-4 cups ', ' ', ' ']",-1,,0
73,Amaretto And Cream,2017-09-02 18:56:58,11025,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,Cocktail glass,,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Light cream', nan, nan, nan, nan, nan, nan, nan]","['1 1/2 oz ', nan, nan, nan, nan, nan, nan, '1 1/2 oz ', ' ', ' ', ' ', ' ', ' ', nan, nan]",-1,,0
74,Amaretto Liqueur,2016-09-01 09:47:29,12792,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,Collins Glass,,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.",,"['Sugar', 'Food coloring', 'Glycerine', nan, nan, nan, nan, 'Water', 'Apricot', 'Almond flavoring', 'Grain alcohol', 'Water', 'Brandy', 'Food coloring', 'Food coloring']","['1 cup', '2 drops blue ', '1/2 tsp ', ' ', ' ', ' ', ' ', '3/4 cup ', '2 ', '1 tblsp ', '1/2 cup pure ', '1/2 cup ', '1 cup ', '3 drops yellow ', '6 drops red ']",-1,,0
75,Amaretto Mist,2017-01-02 20:19:31,11026,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,Old-fashioned glass,,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Lime', nan, nan, nan, nan, nan, nan, nan]","['1 1/2 oz ', nan, nan, nan, nan, nan, nan, '1 ', ' ', ' ', ' ', ' ', ' ', nan, nan]",-1,,0
76,Amaretto Rose,2017-04-24 22:32:59,11027,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,Collins glass,,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Lime juice', 'Club soda', nan, nan, nan, nan, nan, nan]","['1 1/2 oz ', nan, nan, nan, nan, nan, nan, '1/2 oz ', '\n', '\n', '\n', '\n', '\n', '\n', nan]",-1,,0
77,Amaretto Shake,2017-04-24 22:34:16,15194,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Collins Glass,,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,,"['Chocolate ice-cream', nan, nan, nan, nan, nan, nan, 'Brandy', 'Amaretto', nan, nan, nan, nan, nan, nan]","['2 scoops ', nan, nan, nan, nan, nan, nan, '2 oz ', '2 oz ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
78,Amaretto Sour,2017-04-24 22:43:32,13731,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,Collins Glass,,Shake and strain. Garnish with a cherry and an orange slice.,,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Sour mix', nan, nan, nan, nan, nan, nan, nan]","['1 1/2 oz ', nan, nan, nan, nan, nan, nan, '3 oz ', ' ', ' ', ' ', ' ', ' ', nan, nan]",-1,,0
79,Amaretto Stinger,2017-04-24 22:38:54,11028,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,Cocktail glass,,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",,"['Amaretto', nan, nan, nan, nan, nan, nan, 'White Creme de Menthe', nan, nan, nan, nan, nan, nan, nan]","['1 1/2 oz ', nan, nan, nan, nan, nan, nan, '3/4 oz ', ' ', ' ', ' ', ' ', ' ', nan, nan]",-1,,0
80,Amaretto Stone Sour,2016-09-01 09:52:01,14306,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,Collins Glass,,Shake and Serve over ice,,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Sour mix', 'Orange juice', nan, nan, nan, nan, nan, nan]","['1 part ', nan, nan, nan, nan, nan, nan, '1 part ', '1 part ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
81,Amaretto Stone Sour #3,2016-09-01 09:53:32,16100,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,Highball glass,,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry.",,"['Sour mix', nan, nan, nan, nan, nan, nan, 'Amaretto', 'Tequila', 'Orange juice', nan, nan, nan, nan, nan]","['2 oz ', nan, nan, nan, nan, nan, nan, '2 oz ', '2 oz ', 'Add splash ', ' ', ' ', ' ', ' ', ' ']",-1,,0
82,Amaretto Sunrise,2017-04-24 22:44:27,14578,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,Collins Glass,,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Orange juice', 'Grenadine', nan, nan, nan, nan, nan, nan]","['1 cl ', nan, nan, nan, nan, nan, nan, '4 oz ', '1/4 cl ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
83,Amaretto Sunset,2017-04-24 22:36:00,17168,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,Collins Glass,,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.",,"['Triple sec', nan, nan, nan, nan, nan, nan, 'Amaretto', 'Cider', 'Ice', nan, nan, nan, nan, nan]","['1/2 jigger ', nan, nan, nan, nan, nan, nan, '3 shots ', '1/2 cup ', 'Add 1/2 cup ', ' ', ' ', ' ', ' ', ' ']",-1,,0
84,Amaretto Sweet & Sour,2016-08-31 19:35:46,16202,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,Margarita/Coupette glass,,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner.",,"['Amaretto', nan, nan, nan, nan, nan, nan, 'Sweet and sour', 'Midori melon liqueur', 'Pineapple juice', nan, nan, nan, nan, nan]","['\n', nan, nan, nan, nan, nan, nan, '\n', ' ', ' ', ' ', ' ', ' ', nan, nan]",-1,,0
85,Amaretto Tea,2017-04-24 22:42:47,11029,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,Pousse cafe glass,,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",,"['Tea', nan, nan, nan, nan, nan, nan, 'Amaretto', 'Whipped cream', nan, nan, nan, nan, nan, nan]","['6 oz hot ', nan, nan, nan, nan, nan, nan, '2 oz ', 'Chilled ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
86,Americano,2016-11-04 09:52:06,15941,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,Collins glass,Unforgettables,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",,"['Campari', nan, nan, nan, nan, nan, nan, 'Sweet Vermouth', 'Lemon peel', 'Orange peel', nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1 oz red ', 'Twist of ', 'Twist of ', ' ', ' ', ' ', ' ', ' ']",-1,,0
87,Angel Face,2016-11-04 09:52:58,11034,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,Cocktail glass,Unforgettables,Shake all ingredients with ice and strain contents into a cocktail glass.,,"['Apricot brandy', nan, nan, nan, nan, nan, nan, 'Apple brandy', 'Gin', nan, nan, nan, nan, nan, nan]","['1/2 oz ', nan, nan, nan, nan, nan, nan, '1/2 oz ', '1 oz ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
88,Angelica Liqueur,2016-08-31 19:21:12,12794,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,Collins Glass,,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month.",,"['Angelica root', 'Water', 'Food coloring', 'Food coloring', nan, nan, nan, 'Almond', 'Allspice', 'Cinnamon', 'Anise', 'Coriander', 'Marjoram leaves', 'Vodka', 'Sugar']","['3 tblsp chopped', '1/4 cup ', '1 drop yellow ', '1 drop green ', ' ', ' ', ' ', '1 tblsp chopped ', '1 cracked ', '1 one-inch ', '3-6 crushed ', '1/8 tsp powdered ', '1 tblsp fresh chopped ', '1.5 cup ', '1/2 cup granulated ']",-1,,0
89,Apello,2016-07-18 22:13:35,15106,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Collins Glass,,Stirr. Grnish with maraschino cherry.,,"['Orange juice', nan, nan, nan, nan, nan, nan, 'Grapefruit juice', 'Apple juice', 'Maraschino cherry', nan, nan, nan, nan, nan]","['4 cl ', nan, nan, nan, nan, nan, nan, '3 cl ', '1 cl ', '1 ', ' ', ' ', ' ', ' ', ' ']",-1,,0
90,Apple Berry Smoothie,2016-07-18 22:14:33,12710,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,Highball Glass,,Throw everything into a blender and liquify.,,"['Berries', nan, nan, nan, nan, nan, nan, 'Apple', nan, nan, nan, nan, nan, nan, nan]","['1 cup ', nan, nan, nan, nan, nan, nan, '2 ', ' ', ' ', ' ', ' ', ' ', nan, nan]",-1,,0
91,Apple Cider Punch #1,2016-02-03 15:26:58,12864,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg,Collins Glass,,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.",,"['Apple cider', nan, nan, nan, nan, nan, nan, 'Brown sugar', 'Lemonade', 'Orange juice', 'Cloves', 'Allspice', 'Nutmeg', 'Cinnamon', nan]","['4 qt ', ' ', ' ', ' ', ' ', nan, nan, '1 cup ', '6 oz frozen ', '6 oz frozen ', '6 whole ', '6 whole ', '1 tsp ground ', '3 sticks ', ' ']",-1,,0
92,Apple Grande,2016-08-31 19:37:02,16289,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,Punch Bowl,,Chill both ingredients!! Mix in a tumbler and enjoy!,,"['Tequila', nan, nan, nan, nan, nan, nan, 'Apple cider', nan, nan, nan, nan, nan, nan, nan]","['3 oz ', nan, nan, nan, nan, nan, nan, '12 oz ', ' ', ' ', ' ', ' ', ' ', nan, nan]",-1,,0
93,Apple Karate,2016-07-18 22:17:14,12564,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,Highball Glass,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",,"['Apple juice', nan, nan, nan, nan, nan, nan, 'Carrot', nan, nan, nan, nan, nan, nan, nan]","['2 cups ', nan, nan, nan, nan, nan, nan, '1 large ', ' ', ' ', ' ', ' ', ' ', nan, nan]",-1,,0
94,Apple Pie with A Crust,2016-09-01 09:54:38,16958,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,Collins Glass,,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.,,"['Apple juice', nan, nan, nan, nan, nan, nan, 'Malibu rum', 'Cinnamon', nan, nan, nan, nan, nan, nan]","['3 parts ', nan, nan, nan, nan, nan, nan, '1 part ', '3 dashes ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
95,Apple Slammer,2017-04-24 22:37:32,13683,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,Shot glass,,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.",,"['7-Up', nan, nan, nan, nan, nan, nan, 'Apple schnapps', nan, nan, nan, nan, nan, nan, nan]","['1 part ', nan, nan, nan, nan, nan, nan, '1 part ', ' ', ' ', ' ', ' ', ' ', nan, nan]",-1,,0
96,Applecar,2017-09-02 23:02:44,11046,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Cocktail glass,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"['Applejack', nan, nan, nan, nan, nan, nan, 'Triple sec', 'Lemon juice', nan, nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1 oz ', '1 oz ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
97,Applejack,2016-11-15 11:24:22,16311,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Cocktail glass,,"Add all ingredients into mixing glass, chill and strain into cocktail glass",,"['Jack Daniels', nan, nan, nan, nan, nan, nan, 'Midori melon liqueur', 'Sour mix', nan, nan, nan, nan, nan, nan]","['1 oz ', nan, nan, nan, nan, nan, nan, '1/2 oz ', '2 oz ', ' ', ' ', ' ', ' ', ' ', nan]",-1,,0
98,Apricot Lady,2017-09-02 23:03:34,11050,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,Old-fashioned glass,,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",,"['Light rum', nan, nan, nan, nan, nan, nan, 'Apricot brandy', 'Triple sec', 'Lemon juice', 'Egg white', 'Orange', nan, nan, nan]","['1 1/2 oz ', ' ', ' ', nan, nan, nan, nan, '1 oz ', '1 tsp ', '1/2 oz ', '1 ', '1 ', ' ', ' ', ' ']",-1,,0
99,Apricot punch,2016-08-31 19:37:47,15849,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg,Punch bowl,,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,,"['Apricot brandy', nan, nan, nan, nan, nan, nan, 'Champagne', 'Vodka', '7-Up', 'Orange juice', nan, nan, nan, nan]","['1 qt ', ' ', nan, nan, nan, nan, nan, '4 fifth ', '1 fifth ', '4 L ', '1/2 gal ', ' ', ' ', ' ', ' ']",-1,,0
