,Name,UserRating,Ingredients,FlavorProfile,PersonalRating,Comment,Favorite
0,Apple Cider Spritz,4.1,"['Apple Cider', 'Club Soda', 'Cinnamon Stick']","['Sweet', 'Refreshing']",-1,Unfilled,0
1,Banana Mango Smoothie,4.2,"['Banana', 'Mango', 'Yogurt']","['Sweet', 'Creamy']",-1,Unfilled,0
2,Beetroot Tonic,4.2,"['Beetroot Juice', 'Tonic Water', 'Lemon Juice']","['Bitter', 'Refreshing']",-1,Unfilled,0
3,Bitter Orange Spritzer,4.1,"['Orange Juice', 'Tonic Water', 'Grapefruit Juice']","['Bitter', 'Refreshing']",-1,Unfilled,0
4,Blackberry Ginger Spritzer,4.3,"['Ginger Beer', 'Lemon Juice', 'Blackberries']","['Sour', 'Refreshing']",-1,Unfilled,0
5,Blackberry Lemonade,4.2,"['Lemonade', 'Blackberries', 'Simple Syrup']","['Sweet', 'Refreshing']",-1,Unfilled,0
6,Blackberry Sage Spritzer,4.3,"['Blackberry Syrup', 'Club Soda', 'Sage Leaves']","['Sweet', 'Herbal']",-1,Unfilled,0
7,Blackberry Thyme Smash,4.2,"['Blackberries', 'Thyme Syrup', 'Lime']","['Sour', 'Herbal']",-1,Unfilled,0
8,Blood Orange Ginger Beer,4.1,"['Blood Orange Juice', 'Ginger Beer', 'Lime']","['Sour', 'Refreshing']",-1,Unfilled,0
9,Blueberry Ginger Fizz,4.3,"['Blackberry Syrup', 'Ginger Ale', 'Lime']","['Sour', 'Fruity']",-1,Unfilled,0
10,Blueberry Lemon Spritzer,4.1,"['Lemonade', 'Blueberries', 'Soda Water']","['Sweet', 'Fruity']",-1,Unfilled,0
11,Carrot Ginger Tonic,4.1,"['Carrot Juice', 'Ginger Juice', 'Tonic Water']","['Bitter', 'Spicy']",-1,Unfilled,0
12,Celery Tonic,4.2,"['Celery Juice', 'Tonic Water', 'Lemon Juice']","['Bitter', 'Refreshing']",4,Unfilled,0
13,Cherry Cola,4.0,"['Cherry Syrup', 'Cola', 'Cherry']","['Sweet', 'Fruity']",-1,Unfilled,0
14,Cherry Vanilla Soda,4.3,"['Cherry Syrup', 'Club Soda', 'Vanilla Extract']","['Sweet', 'Fruity']",-1,Unfilled,0
15,Chocolate Banana Shake,4.1,"['Milk', 'Banana', 'Chocolate Syrup']","['Creamy', 'Sweet']",-1,Unfilled,0
16,Citrus Mint Cooler,4.3,"['Orange Juice', 'Grapefruit Juice', 'Mint Leaves']","['Sour', 'Refreshing']",-1,Unfilled,0
17,Coconut Cream Chai,4.2,"['Chai Tea', 'Coconut Milk', 'Honey']","['Creamy', 'Spicy']",-1,Unfilled,0
18,Coconut Creamsicle,4.2,"['Coconut Milk', 'Orange Juice', 'Vanilla Extract']","['Creamy', 'Citrusy']",-1,Unfilled,0
19,Coconut Lime Cooler,4.2,"['Coconut Water', 'Lime Juice', 'Agave Syrup']","['Sweet', 'Creamy']",-1,Unfilled,0
20,Cranberry Lime Spritzer,4.3,"['Cranberry Juice', 'Lime Juice', 'Club Soda']","['Sour', 'Refreshing']",-1,Unfilled,0
21,Cranberry Orange Spritzer,4.2,"['Cranberry Juice', 'Orange Juice', 'Soda Water']","['Sweet', 'Fruity']",-1,Unfilled,0
22,Cranberry Spritz,4.1,"['Cranberry Juice', 'Club Soda', 'Lime Juice']","['Tart', 'Refreshing']",-1,Unfilled,0
23,Cranberry Thyme Spritzer,4.2,"['Cranberry Juice', 'Thyme Syrup', 'Club Soda']","['Sour', 'Herbal']",-1,Unfilled,0
24,Cucumber Cooler,4.3,"['Cucumber Juice', 'Lime Juice', 'Club Soda']","['Bitter', 'Refreshing']",-1,Unfilled,0
25,Cucumber Limeade,4.1,"['Cucumber Juice', 'Lime Juice', 'Agave Syrup']","['Refreshing', 'Sweet']",-1,Unfilled,0
26,Cucumber Mint Cooler,4.2,"['Cucumber Juice', 'Lime Juice', 'Mint Leaves']","['Refreshing', 'Herbal']",-1,Unfilled,0
27,Dandelion Tea Spritz,4.2,"['Dandelion Root Tea', 'Club Soda', 'Lime Juice']","['Bitter', 'Refreshing']",-1,Unfilled,0
28,Fruit Punch,4.2,"['Orange Juice', 'Pineapple Juice', 'Cranberry Juice']","['Sweet', 'Fruity']",-1,Unfilled,0
29,Ginger Ale Spritzer,4.1,"['Ginger Ale', 'Lime Juice', 'Mint Leaves']","['Sweet', 'Refreshing']",-1,Unfilled,0
30,Ginger Lime Fizz,4.2,"['Ginger Syrup', 'Lime Juice', 'Soda Water']","['Spicy', 'Refreshing']",-1,Unfilled,0
31,Ginger Lime Rickey,4.2,"['Lime Juice', 'Ginger Syrup', 'Club Soda']","['Sour', 'Spicy']",-1,Unfilled,True
32,Ginger Peach Iced Tea,4.3,"['Peach Tea', 'Ginger Ale', 'Peach Slice']","['Sweet', 'Refreshing']",-1,Unfilled,0
33,Grapefruit Jalapeno Cooler,4.2,"['Grapefruit Juice', 'Jalapeno Slices', 'Agave Syrup']","['Sour', 'Spicy']",-1,Unfilled,0
34,Grapefruit Mint,4.2,"['Grapefruit Juice', 'Mint Leaves', 'Club Soda']","['Bitter', 'Refreshing']",-1,Unfilled,0
35,Grapefruit Paloma,4.1,"['Grapefruit Juice', 'Lime Juice', 'Agave Syrup']","['Sour', 'Bitter']",-1,Unfilled,0
36,Grapefruit Rosemary Spritzer,4.1,"['Grapefruit Juice', 'Club Soda', 'Rosemary']","['Tart', 'Herbal']",1,Unfilled,0
37,Grapefruit Sage,4.2,"['Grapefruit Juice', 'Sage Leaves', 'Soda Water']","['Bitter', 'Refreshing']",4,Unfilled,0
38,Grapefruit Spritzer,4.2,"['Grapefruit Juice', 'Soda Water', 'Grapefruit Slice']","['Sour', 'Refreshing']",-1,Unfilled,0
39,Grapefruit Spritzer,4.3,"['Grapefruit Juice', 'Club Soda', 'Mint Leaves']","['Refreshing', 'Bitter']",-1,Unfilled,0
40,Green Smoothie,4.1,"['Spinach', 'Banana', 'Honey']","['Sweet', 'Refreshing']",-1,Unfilled,0
41,Hibiscus Tea Cooler,4.2,"['Hibiscus Tea', 'Lime Juice', 'Honey']","['Tart', 'Floral']",-1,Unfilled,0
42,Honeydew Basil Cooler,4.1,"['Honeydew Melon Juice', 'Lime Juice', 'Basil Leaves']","['Sweet', 'Herbal']",-1,Unfilled,0
43,Honeydew Mint Cooler,4.2,"['Honeydew Melon Juice', 'Lime Juice', 'Mint Leaves']","['Refreshing', 'Sweet']",-1,Unfilled,0
44,Kiwi Lime Mojito,4.3,"['Kiwi', 'Lime Juice', 'Mint Leaves']","['Sour', 'Minty']",4,Unfilled,0
45,Kiwi Margarita,4.1,"['Kiwi Juice', 'Lime Juice', 'Agave Syrup']","['Sour', 'Fruity']",-1,Unfilled,0
46,Kiwi Strawberry Lemonade,4.2,"['Lemonade', 'Kiwi', 'Strawberry']","['Refreshing', 'Fruity']",-1,Unfilled,0
47,Lavender Lemonade,4.1,"['Lemonade', 'Lavender', 'Simple Syrup']","['Sweet', 'Refreshing']",-1,Unfilled,0
48,Lemon And Sage Spritz,4.3,"['Lemon Juice', 'Sage Leaves', 'Club Soda']","['Bitter', 'Refreshing']",-1,Unfilled,0
49,Lemon Basil Fizz,4.1,"['Lemon Juice', 'Basil Syrup', 'Club Soda']","['Sour', 'Herbal']",-1,Unfilled,0
50,Lemon Ginger Iced Tea,4.1,"['Lemon Juice', 'Ginger Syrup', 'Iced Tea']","['Sour', 'Spicy']",1,Unfilled,False
51,Lemon Rosemary Sparkler,4.2,"['Lemon Juice', 'Rosemary Syrup', 'Club Soda']","['Sour', 'Herbal']",-1,Unfilled,0
52,Lime And Cilantro Mocktail,4.1,"['Lime Juice', 'Cilantro Syrup', 'Club Soda']","['Sour', 'Herbal']",-1,Unfilled,0
53,Mango Habanero Mocktail,4.1,"['Mango Juice', 'Habanero Syrup', 'Lime']","['Sour', 'Spicy']",-1,Unfilled,0
54,Mango Lassi,4.3,"['Mango', 'Yogurt', 'Sugar']","['Sweet', 'Creamy']",-1,Unfilled,0
55,Matcha Green Tea Latte,4.3,"['Matcha Powder', 'Milk', 'Honey']","['Creamy', 'Earthy']",-1,Unfilled,0
56,Mint Julep Mocktail,4.3,"['Mint Leaves', 'Lime Juice', 'Simple Syrup']","['Herbal', 'Minty']",-1,Unfilled,0
57,Minty Lemonade,4.2,"['Lemonade', 'Mint Leaves', 'Simple Syrup']","['Sweet', 'Refreshing']",3,Unfilled,0
58,Minty Lime Refresher,4.1,"['Lime Juice', 'Club Soda', 'Mint Leaves']","['Refreshing', 'Tart']",-1,Unfilled,0
59,Orange Creamsicle,4.4,"['Orange Juice', 'Milk', 'Vanilla Extract']","['Sweet', 'Creamy']",-1,Unfilled,0
60,Orange Ginger Fizz,4.3,"['Orange Juice', 'Ginger Ale', 'Lime']","['Sour', 'Fruity']",1,Unfilled,0
61,Orange Sunrise,4.1,"['Orange Juice', 'Pineapple Juice', 'Grenadine']","['Sweet', 'Fruity']",-1,Unfilled,0
62,Passionfruit Habanero Cooler,4.3,"['Passionfruit Juice', 'Habanero Syrup', 'Lime']","['Sour', 'Spicy']",4,Unfilled,0
63,Passionfruit Lemonade,4.2,"['Lemonade', 'Passionfruit Syrup', 'Lime']","['Sweet', 'Fruity']",-1,Unfilled,0
64,Passionfruit Mango Smoothie,4.2,"['Mango', 'Agave Syrup', 'Passionfruit Juice']","['Sweet', 'Fruity']",-1,Unfilled,0
65,Peach Ginger Fizz,4.3,"['Peach Juice', 'Ginger Ale', 'Lime Juice']","['Refreshing', 'Sweet']",-1,Unfilled,0
66,Peach Iced Tea,4.1,"['Peach Tea', 'Lemonade', 'Peach Slice']","['Sweet', 'Fruity']",-1,Unfilled,0
67,Peach Lemonade,4.3,"['Lemonade', 'Peach Syrup', 'Peach Slice']","['Sweet', 'Fruity']",-1,Unfilled,0
68,Peanut Butter Banana Smoothie,4.1,"['Peanut Butter', 'Banana', 'Milk']","['Creamy', 'Nutty']",-1,Unfilled,0
69,Pina Colada Smoothie,4.3,"['Pineapple Juice', 'Coconut Milk', 'Banana']","['Creamy', 'Fruity']",-1,Unfilled,0
70,Pineapple Coconut Cooler,4.1,"['Pineapple Juice', 'Coconut Water', 'Lime Juice']","['Sweet', 'Creamy']",-1,Unfilled,0
71,Pineapple Coconut Mojito,4.1,"['Pineapple Juice', 'Coconut Water', 'Lime']","['Sweet', 'Minty']",-1,Unfilled,0
72,Pineapple Cucumber Cooler,4.1,"['Pineapple Juice', 'Cucumber Juice', 'Mint Leaves']","['Refreshing', 'Sweet']",-1,Unfilled,0
73,Pineapple Jalapeno Margarita,4.1,"['Pineapple Juice', 'Jalapeno', 'Simple Syrup, Lime']","['Sour', 'Spicy']",-1,Unfilled,0
74,Pineapple Mint Mocktail,4.1,"['Pineapple Juice', 'Mint Syrup', 'Lime']","['Sour', 'Minty']",-1,Unfilled,0
75,Pineapple Sage Tonic,4.1,"['Pineapple Juice', 'Sage Leaves', 'Tonic Water']","['Bitter', 'Sweet']",-1,Unfilled,0
76,Pomegranate Lemon Spritzer,4.3,"['Pomegranate Juice', 'Club Soda', 'Lemon']","['Tart', 'Fruity']",-1,Unfilled,0
77,Pomegranate Margarita Mocktail,4.1,"['Pomegranate Juice', 'Lime Juice', 'Agave Syrup']","['Sour', 'Refreshing']",-1,Unfilled,0
78,Raspberry Lemon Spritzer,4.2,"['Lemonade', 'Raspberry Syrup', 'Club Soda']","['Refreshing', 'Fruity']",-1,Unfilled,0
79,Raspberry Lemonade,4.3,"['Lemonade', 'Raspberries', 'Simple Syrup']","['Sweet', 'Fruity']",-1,Unfilled,0
80,Raspberry Lime Rickey,4.2,"['Raspberry Syrup', 'Lime Juice', 'Club Soda']","['Sour', 'Fruity']",4,Unfilled,0
81,Raspberry Sparkler,4.3,"['Raspberry Syrup', 'Club Soda', 'Lemon']","['Sweet', 'Fruity']",-1,Unfilled,0
82,Raspberry White Hot Chocolate,4.1,"['White Chocolate', 'Milk', 'Raspberry Syrup']","['Creamy', 'Fruity']",-1,Unfilled,0
83,Shirley Temple,4.1,"['Lemon Lime Soda', 'Grenadine', 'Maraschino Cherry']","['Sweet', 'Fruity']",-1,Unfilled,0
84,Sour Apple Spritz,4.2,"['Apple Juice', 'Lime Juice', 'Club Soda']","['Sour', 'Fruity']",-1,Unfilled,0
85,Sparkling Lavender Lemonade,4.3,"['Lemonade', 'Lavender Syrup', 'Club Soda']","['Sweet', 'Floral']",-1,Unfilled,0
86,Sparkling Peach Punch,4.1,"['Peach Nectar', 'Sparkling Water', 'Lemon Juice']","['Refreshing', 'Fruity']",-1,Unfilled,0
87,Spiced Apple Cider,4.3,"['Apple Cider', 'Cinnamon Stick', 'Star Anise']","['Bitter', 'Spicy']",-1,Unfilled,0
88,Spicy Ginger Ale,4.3,"['Ginger Ale', 'Chili Powder', 'Lime']","['Spicy', 'Fizzy']",-1,Unfilled,0
89,Spicy Grapefruit,4.3,"['Grapefruit Juice', 'Jalapeno Syrup', 'Soda Water']","['Bitter', 'Spicy']",-1,Unfilled,0
90,Strawberry Basil Lemonade,4.3,"['Lemonade', 'Strawberries', 'Basil Leaves']","['Sweet', 'Fruity']",-1,Unfilled,0
91,Strawberry Cheesecake Smoothie,4.2,"['Strawberries', 'Cream Cheese', 'Milk']","['Creamy', 'Fruity']",-1,Unfilled,0
92,Strawberry Kiwi Smash,4.2,"['Strawberries', 'Kiwi', 'Club Soda']","['Sweet', 'Fruity']",-1,Unfilled,0
93,Strawberry Mint Lemonade,4.2,"['Lemonade', 'Strawberries', 'Mint']","['Sweet', 'Fruity']",-1,Unfilled,0
94,Tropical Punch,4.3,"['Pineapple Juice', 'Orange Juice', 'Mango Juice']","['Sweet', 'Fruity']",-1,Unfilled,0
95,Tropical Yogurt Smoothie,4.2,"['Mango', 'Pineapple', 'Yogurt']","['Creamy', 'Fruity']",-1,Unfilled,0
96,Turmeric Tonic,4.1,"['Turmeric Juice', 'Tonic Water', 'Lime Juice']","['Bitter', 'Spicy']",-1,Unfilled,0
97,Vanilla Chai Latte,4.3,"['Chai Tea', 'Milk', 'Vanilla Syrup']","['Creamy', 'Spicy']",1,Unfilled,0
98,Vanilla Rooibos Tea Latte,4.1,"['Rooibos Tea', 'Milk', 'Vanilla Extract']","['Creamy', 'Herbal']",-1,Unfilled,0
99,Virgin Margarita,4.2,"['Lime Juice', 'Orange Juice', 'Agave Syrup']","['Sour', 'Refreshing']",-1,Unfilled,0
100,Virgin Mary,4.3,"['Tomato Juice', 'Worcestershire Sauce', 'Tabasco Sauce']","['Spicy', 'Savory']",-1,Unfilled,0
101,Virgin Mojito,4.3,"['Lime Juice', 'Mint Leaves', 'Soda Water']","['Sour', 'Refreshing']",-1,Unfilled,0
102,Virgin Pina Colada,4.0,"['Pineapple Juice', 'Coconut Cream', 'Pineapple Slice']","['Sweet', 'Creamy']",-1,Unfilled,0
103,Watermelon Lime Slush,4.3,"['Watermelon Juice', 'Lime Juice', 'Ice']","['Refreshing', 'Sweet']",-1,Unfilled,0
104,Watermelon Slushie,4.3,"['Watermelon', 'Lime Juice', 'Agave Syrup']","['Sweet', 'Refreshing']",-1,Unfilled,0
