,Country,Description,Name,Points,Price,Province,Variety,Winery,Region,PersonalRating,Comment,Favorite
47,US,"Blended with 9% Malbec, 9% Cabernet Franc and 5% Petit Verdot, this is a perennial classic for the winery, the sister brand of Cuvaison. Juicy in cherry and cassis, it sustains big, pillowy tannins and tar, suggesting more time for the fruit to match up with the structure. Drink through 2020.",Estate Grown,90,60.0,California,Cabernet Sauvignon,Brandlin,"['Mount Veeder', 'Napa']",-1,Unfilled,0
48,Italy,"Ripe dark-skinned berry, forest floor and cooking spice aromas lead the nose along with a whiff of new leather. The chewy palate offers fleshy black cherry, cinnamon, vanilla and a hint of tobacco while polished tannins provide the framework. This is already accessible so no need to cellar it for years. Best through 2021.",Unfilled,90,50.0,Tuscany,Sangiovese,Brunelli Martoccia,"['Brunello di Montalcino', 'Unfilled']",-1,Unfilled,0
49,US,"The aromas of blue fruit, herbs and spice are initially under tight restraint. The flavors are full, with the tannins simultaneously firm and fine grained. It shows good length.",Unfilled,90,40.0,Washington,Cabernet Sauvignon,Canvasback,"['Red Mountain', 'Columbia Valley']",-1,Unfilled,0
50,Italy,"This robust red opens with aromas of espresso, plum cake, toast and dark spice. The hearty palate offers blackberry jam, licorice, vanilla and mocha alongside firm fine-grained tannins. A coffee note closes the finish.",Riserva,90,100.0,Tuscany,Sangiovese,Capanne Ricci,"['Brunello di Montalcino', 'Unfilled']",-1,Unfilled,0
51,France,"This structured, complex Chardonnay is packed with minerality and considerable weight. The tight texture and almost tannic character will soften over the next few months. Full of potential, it's drinkable now but will be so much better from 2017.",Unfilled,90,68.0,Burgundy,Chardonnay,Chartron et Trébuchet,"['Chassagne-Montrachet', 'Unfilled']",-1,Unfilled,0
52,France,"This ripe, full-bodied wine has ripe green fruits that are lifted by lime and made richer by apricot. Still young, with a concentrated structure, it's going to develop into a full, beautifully fruity wine. The name of the wine means the size of a parcel that demands the work of seven men for a day. Drink from 2017.",Les 7 Hommes,90,42.0,Loire Valley,Sauvignon Blanc,Cherrier Frères,"['Sancerre', 'Unfilled']",-1,Unfilled,0
53,France,"With its light color and cool feel, this well-balanced wine comes from a parcel of 30-year-old vines. The smoky tannins and intense acidity give a wine that will develop well and slowly. It's still young with its red-berry fruits and fresh aftertaste. Drink from 2018.",L'Inédit,90,28.0,Loire Valley,Pinot Noir,Clement et Florian Berthier,"['Coteaux du Giennois', 'Unfilled']",-1,Unfilled,0
54,US,"There's a lot to like in this nicely priced white, a blend of several regional vineyards. A taste of hazelnut expands on the palate to meet creamy Tahitian vanilla. Approachably round, this crowd-pleasing wine finishes in measured, integrated oak.",Unfilled,90,18.0,California,Chardonnay,De Loach,"['Russian River Valley', 'Sonoma']",-1,Unfilled,0
55,US,"A blend of Cabernet from Grand Ciel (31%), Ciel du Cheval (30%), Upchurch (28%) and Klipsun (11%) vineyards, wood spice aromas start out up front. The cherry flavors are light and elegant, with the tannins bringing some grip.",Four Flags,90,69.0,Washington,Cabernet Sauvignon,DeLille,"['Red Mountain', 'Columbia Valley']",-1,Unfilled,0
56,France,"Delicious while also young and textured, this wine comes from biodynamically grown grapes. It has a strong sense of minerality as well as intense citrus and green fruits. It's tight at the moment and needs to round out, so drink from 2018.",Le Pavé,90,-1.0,Loire Valley,Sauvignon Blanc,Domaine Vacheron,"['Sancerre', 'Unfilled']",-1,Unfilled,0
57,US,"While exuberantly fruity, almost tropical on the nose, there's a crystalline edge to this dry Riesling that renders it especially refreshing. It's vibrant and light footed, brightened by a lingering honey note on the finish.",Reserve,90,25.0,New York,Riesling,Dr. Konstantin Frank,"['Finger Lakes', 'Finger Lakes']",-1,Unfilled,0
58,US,"Cabernet makes up just over half of this blend. Aromas of black cherries, herbs and minerals are followed by plush-feeling dark-fruit flavors and backed by firm tannins. Drink now.",Final Final,90,30.0,Washington,Cabernet Sauvignon-Syrah,Efeste,"['Columbia Valley (WA)', 'Columbia Valley']",-1,Unfilled,0
59,Italy,"This savory blend of 40% Merlot, 30% Cabernet Sauvignon, 25% Cabernet Franc and 5% Syrah opens with aromas of roasted coffee bean, leather, tobacco and dark woodland berry. The chewy palate offers juicy plum, cassis and clove alongside polished tannins. Drink through 2019.",Poggio Bestiale,90,60.0,Tuscany,Red Blend,Fattoria di Magliano,"['Maremma Toscana', 'Unfilled']",-1,Unfilled,0
60,Argentina,"Concentrated, ripe blackberry and cassis aromas come with peppery spice and cedary oak notes. This is big and generous on the palate, with roasted, well-oaked blackberry flavors. A touch of heat lends sizzle to the finish. Drink through 2020.",The Apple Doesn't Fall Far From The Tree,91,30.0,Mendoza Province,Malbec,Matias Riccitelli,"['Mendoza', 'Unfilled']",-1,Unfilled,0
61,Australia,"Moorooduc's estate Pinot Noir is a solid value among the boutique offerings from the Mornington Peninsula. There's a supple cushioning of flesh wrapped around a firm backbone of acid, while the flavors run from black cherry and mint through earthier notes of brown sugar and roasted parsnip. Drink now through 2020.",Unfilled,91,36.0,Victoria,Pinot Noir,Moorooduc,"['Mornington Peninsula', 'Unfilled']",-1,Unfilled,0
62,Argentina,"Smoky aromas of fresh-cut wood blend with berry and cassis form a welcoming, generous bouquet. This feels lively on the palate, albeit tartaric. Oaky plum, cassis and vanilla flavors finish full and agreeable. Drink through 2019.",Alegoría Gran Reserva,91,25.0,Mendoza Province,Malbec,Navarro Correas,"['Mendoza', 'Unfilled']",-1,Unfilled,0
63,France,"L'Homme Mort is a northern extension of the Fourchaume Premier Cru vineyard, so called because this was where a local lord dispensed justice by death. It often produces cooler wines such as this. It is tight, with toasted bread hints and with a strongly tangy character. It does need to develop and shouldn't be drunk before 2018.",L'Homme Mort Premier Cru,91,45.0,Burgundy,Chardonnay,Domaine Chenevières,"['Chablis', 'Unfilled']",-1,Unfilled,0
64,Portugal,"This is a super-ripe, still very young wine. It's showing all its concentrated fruits, wood aging flavors and dense texture as well as the firm tannins that will allow it to age. With its combination of black plum skin, blackberry and dark concentration, leave the wine until 2018.",Unfilled,91,23.0,Alentejano,Portuguese Red,Herdade do Rocim,"['Unfilled', 'Unfilled']",-1,Unfilled,0
65,US,"Fresh boysenberries and a blueberry sorbet character mix with notes of minty tarragon, dill and hot gravel on the nose of this wine, from an area between Gilroy and Morgan Hill. Peppercorns are prominent on the relatively light palate, along with tobacco, espresso and boysenberry.",Estate Select,91,36.0,California,Syrah,Jason-Stephens,"['Santa Clara Valley', 'Central Coast']",-1,Unfilled,0
66,France,"The steely character of a young Chablis is very apparent in this wine. It is crisp, lemon flavored and with a mineral edge. The wine has a juicy freshness, still young at heart and needing to age. Drink from 2018.",Fourchaume Premier Cru,91,38.0,Burgundy,Chardonnay,Louis Max,"['Chablis', 'Unfilled']",-1,Unfilled,0
67,US,"From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021.",Animo,91,85.0,California,Cabernet Sauvignon,Michael Mondavi Family Estate,"['Napa Valley', 'Napa']",-1,Unfilled,0
68,US,"Big, bold, dark and chewy, this builds upon substantial black-cherry fruit and supporting acids. Still knitting together, it shows highlights of cedar and tobacco, along with thick tannins. Give this a couple more years of bottle age, and drink after 2018.",Schindler Vineyard,91,50.0,Oregon,Pinot Noir,Panther Creek,"['Eola-Amity Hills', 'Willamette Valley']",-1,Unfilled,0
69,US,"A juiciness of cherry and vanilla spark the opening of this wine, a celebration of the vintage, appellation and in this case, fruit-forwardness of the variety. With a backbone of oak and cedar, it has smooth tannins and medium weight, finishing in mocha chocolate. Drink now through 2022.",Barrel Select,91,60.0,California,Cabernet Sauvignon,Provenance Vineyards,"['Rutherford', 'Napa']",-1,Unfilled,0
70,US,"Sweetened tannins highlight a depth of chocolate and blackberry in this 100% varietal wine made in small amounts. Soft and juicy, it crafts a balance of richness and density around elegant spicy clove and cinnamon.",District Collection,91,85.0,California,Cabernet Sauvignon,Raymond,"['St. Helena', 'Napa']",-1,Unfilled,0
71,US,"This wine draws from a handful of tremendous vineyard sites, including the producer's estate, Platt and Clary Ranch, all cool-climate and windswept. It's a tight, light and minimally messed-with wine, bright in cherry, pomegranate and rose.",Unfilled,91,45.0,California,Pinot Noir,Red Car,"['Sonoma Coast', 'Sonoma']",-1,Unfilled,0
72,Italy,"This offers aromas of red rose, wild berry, dark cooking spice and a whiff of sun baked earth. The ripe palate offers black cherry marinated in spirits, licorice, game and a hint of chocolate alongside velvety tannins. The warmth of alcohol closes the finish. Drink 2018–2029.",Bussia Riserva,91,-1.0,Piedmont,Nebbiolo,Silvano Bolmida,"['Barolo', 'Unfilled']",-1,Unfilled,0
73,US,"Massively fruity, this is an apple/pear bonanza, fleshy and almost lasciviously delicious. The huge fruit flavors convey an impression of sweetness, though this is not identified as off dry. It has tremendous density and length.",Unfilled,91,19.0,Oregon,Pinot Gris,Trinity Vineyards,"['Willamette Valley', 'Willamette Valley']",-1,Unfilled,0
74,Portugal,"It is the ripe dark Alicante Bouschet that dominates this firmly structured wine. It is packed with tannins along with a hugely dense texture and concentrated juicy berry flavors. It is very firm, still young. Wait until 2017.",Premium,91,15.0,Alentejo,Portuguese Red,Adega Cooperativa de Borba,"['Unfilled', 'Unfilled']",-1,Unfilled,0
75,US,"An elegant blend from different estate vineyards, this widely available cuvée brings sturdy tannins and red currant fruit, highlighted with pretty baking spices. It would be an ideal match for roast duck with an orange sauce.",Premier Cuvée,91,54.0,Oregon,Pinot Noir,Archery Summit,"['Willamette Valley', 'Willamette Valley']",-1,Unfilled,0
76,France,"This wine is bone-dry, although with some age the shock of the acidity has been rounded out by a hint of toast. It's linear, fresh and intensely crisp, with citrus and almond tones. Drink this wine from a good vintage now.",Le Nombre d'Or Brut Nature,91,85.0,Champagne,Chardonnay,Aubry,"['Champagne', 'Unfilled']",-1,Unfilled,0
77,US,"Given four months in concrete egg, this is an exotically crisp and textured white, lean and high in acidity with plenty of mouthcoating body to find its balance. Lemon, grapefruit and tangerine are the highlights, finished in refreshing layers of white peach.",Juliana Vineyard,91,38.0,California,Sauvignon Blanc,B Cellars,"['Napa Valley', 'Napa']",-1,Unfilled,0
78,US,"This wine over-delivers in quality for the price. It's made from mostly Cabernet Sauvignon, with handfuls of Merlot, Malbec, Petit Verdot and Cabernet Franc blended in to good effect. The whole combines into layers of chocolate and graham cracker, dappled in vanilla and jam. Thick tannins suggest a swirl or two of the glass. The finish is all tobacco.",Unfilled,91,28.0,California,Cabernet Sauvignon,B Side,"['Napa Valley', 'Napa']",-1,Unfilled,0
79,Italy,"Underbrush, smoke, mocha and dark fruit aromas lead the nose and carry over to the ripe palate along with dried black cherry, licorice and clove. Firm, velvety tannins provide the framework. Drink 2018–2028.",Boscato,91,75.0,Piedmont,Nebbiolo,Bel Colle,"['Barolo', 'Unfilled']",-1,Unfilled,0
80,US,"Generous black-cherry fruit anchors this barrel-aged wine that remains tartly acidic, with pretty accents of toast and mocha. Focused, young and fresh, it should drink optimally 2018–2028.",Aeolian,91,42.0,Oregon,Pinot Noir,Bethel Heights,"['Eola-Amity Hills', 'Willamette Valley']",-1,Unfilled,0
81,Israel,"Dark red violet in color, this wine has aromas of cherry, lavender and rose petal. It is a well-balanced wine with flavors of black cherry, raspberry, Turkish delight and herbes de Provence. Silky tannins coat the palate into the lasting finish, which is punctuated by a note of bright cherry.",Reserve,91,25.0,Upper Galilee,Cabernet Sauvignon,Binyamina,"['Unfilled', 'Unfilled']",-1,Unfilled,0
82,Italy,"Berry, baking spice, dried iris, mint and a hint of vanilla come together on this structured wine. On the palate, notes of white pepper, sage, anise, orange zest and yellow peach accent the red cherry core while a balsamic note closes the finish. Firm, refined tannins provide the backbone.",Palliano Riserva,91,-1.0,Piedmont,Nebbiolo,Ceste,"['Roero', 'Unfilled']",-1,Unfilled,0
83,Italy,"This hearty red opens with aromas of leafy underbrush, leather, licorice and a hint of menthol. The firm, chewy palate offers ripe wild cherry, raspberry jam, anisette and tobacco. Brooding tannins support the dark flavors. Drink 2019–2029.",del Comune di Serralunga d'Alba,91,59.0,Piedmont,Nebbiolo,Cascina Cucco,"['Barolo', 'Unfilled']",-1,Unfilled,0
84,Italy,"Enticing aromas of woodland berry, crushed rose, mint and menthol lead the nose on thisfull-bodied red. Mint carries over to the palate along with wild cherry, red raspberry, kitchen spice and a hint of toast. Assertive tannins and bright acidity hold it all together.",Bricco Luciani,91,85.0,Piedmont,Nebbiolo,Cascina del Monastero,"['Barolo', 'Unfilled']",-1,Unfilled,0
85,Italy,"Aromas of French oak, coconut, vanilla and spiced plum lead the nose on this powerfully structured wine. The oak sensations carry over to the warm palate along with cherry marinated in spirits, licorice and menthol. Bracing, close-grained tannins provide the framework and need time to unwind. Best after 2020.",Bricco Gattera,91,80.0,Piedmont,Nebbiolo,Cordero di Montezemolo,"['Barolo', 'Unfilled']",-1,Unfilled,0
86,France,"This delicious, refreshing wine is textured, tight and mineral, with fruity acidity. Tangy and crisp, it has a tight structure, touches of toast along with apple and citrus flavors. The wine is still young and very tight, so should not be drunk before 2017.",Montmains Premier Cru,91,45.0,Burgundy,Chardonnay,Domaine Gérard Duplessis,"['Chablis', 'Unfilled']",-1,Unfilled,0
87,US,"From a multiplicity of vineyards, this wine works and is a tremendous value for the price. It mixes hot mulled-cider spices, cinnamon, clove and pine forest, conveying surprising depth. Plum, dark cherry and more clove lead to a powerful, leathery finish.",Unfilled,91,22.0,California,Cabernet Sauvignon,Eagle Glen,"['Napa Valley', 'Napa']",-1,Unfilled,0
88,US,"The first Pinot Noir release from this producer, this is a velvety-smooth, exotic and charming wine, light on the palate despite a concentration of ripe, rich fruit. Kirsch, cherry, raspberry and cinnamon combine to make the wine invitingly lush and plush.",Bacigalupi Vineyard,91,65.0,California,Pinot Noir,Eleven Eleven,"['Russian River Valley', 'Sonoma']",-1,Unfilled,0
89,US,"A red Meritage driven by 73% Cabernet Sauvignon, this structured, full-bodied wine also blends in 19% Merlot, 3% Petit Verdot and 3% Malbec. Blackberry and chocolate accent chalky tannins, with bold hits of black licorice, cassis, pencil and black tea. Drink now through 2020.",Magnificat,91,50.0,California,Meritage,Franciscan,"['Napa Valley', 'Napa']",-1,Unfilled,0
90,US,"Bright, light oak shadings dress up this medium-bodied wine, complementing the red cherry and strawberry flavors. It's fresh, fruity and not very tannic—easy to drink and enjoy.",Unfilled,86,10.0,California,Cabernet Sauvignon,Belle Ambiance,"['California', 'California Other']",-1,Unfilled,0
91,Portugal,"The local Baga grape, better known for producing structured red wines, also lends itself to fruity sparkling rosé. Bright acidity gives this crisp wine its tangy, red currant character. Drink now.",Marquês de Marialva Rosé Bruto,86,12.0,Beira Atlantico,Baga,Adega de Cantanhede,"['Unfilled', 'Unfilled']",-1,Unfilled,0
92,Italy,"Aromas of white spring flower, orchard fruit and citrus spill out of the glass. The fun lively palate delivers ripe yellow peach and green apple alongside a foaming mousse.",Nature,86,22.0,Veneto,Glera,De Stefani,"['Prosecco', 'Unfilled']",-1,Unfilled,0
93,US,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture.",Small Lot Blend,86,13.0,California,Chardonnay,Parducci,"['Mendocino County', 'Mendocino/Lake Counties']",-1,Unfilled,0
94,Portugal,"This family-owned estate has produced an immediately attractive entry-level wine. Lightly spiced with wood, it blends Touriga Franca, Tinta Roriz and Tinta Barroca to show black fruit, ripe tannins and bright acidity. Drink now.",Muros de Vinha,86,10.0,Douro,Portuguese Red,Quinta do Portal,"['Unfilled', 'Unfilled']",-1,Unfilled,0
95,France,"This is a smooth, soft wine that is full of black fruits and ripe tannins. The Merlot rounds out the rougher edges of the Malbec to give a rich juicy wine that will develop quickly. It is all fruit, generous and ready to drink from 2017.",Château Beauvillain-Monpezat,86,14.0,Southwest France,Malbec-Merlot,Rigal,"['Cahors', 'Unfilled']",-1,Unfilled,0
96,US,"This is an easygoing wine that's neither too oaky nor too crisp, with a decent blend of ripe pear and baking spice flavors paired with soft, smooth texture.",Unfilled,86,18.0,California,Chardonnay,The Naked Grape,"['California', 'California Other']",-1,Unfilled,0
97,US,"Blended with small amounts of Merlot, Cabernet Franc, Petit Verdot and Malbec, this is an austere, unfussy red made in modest quantities that has crisp red currant and cranberry flavors interwoven with cedar and dried herb.",Unfilled,86,36.0,California,Cabernet Sauvignon,Tin Barn,"['Sonoma Valley', 'Sonoma']",-1,Unfilled,0
98,France,"Closer to Bordeaux than is Cahors, this is Malbec with a cooler visage. It has spice and stalky tannins along with plenty of acidity. The wine is bright with red berry fruits and a crisp lightly mineral aftertaste. Drink from 2018.",Pigmentum,86,15.0,Southwest France,Merlot-Malbec,Georges Vigouroux,"['Buzet', 'Unfilled']",-1,Unfilled,0
99,France,"This is a blend of 60% Ugni Blanc and 40% Colombard that gives a deliciously light and refreshing wine. Bright and breezy, it is perfumed, herbal and full of direct citrus flavors. Drink now.",Pigmentum,86,10.0,Southwest France,Ugni Blanc-Colombard,Georges Vigouroux,"['Côtes de Gascogne', 'Unfilled']",-1,Unfilled,0
